amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,946,157",American Gut,,,,,"We are currently not able to supply any of our regular
    collection kits. Any general contributions made using the orange
      ""Contribute"" button will be counted only as a donation,
      not as an exchange for a kit. The Microsetta Initiative and its
  subsidiaries, including the American Gut Project, have pivoted to
  COVID-19 research and are revising our kits to support this effort. We
  are working as hard as we can, but please be patient as these changes
  have required a complete overhaul of our infrastructure.  If you are
  interested in these kits, please fill out this sign up form and we
  will be sending you updates on kit availability : https://mailchi.mp/ucsd/microsettakitinterest In addition, we are in urgent need of funding to support these
    research endeavors. We are part of the UC San Diego School of
    Medicine. We are actively working with frontline workers, sharing
    limited resources, and engaged with the broader San Diego research
    network studying all aspects of this virus and disease. Please
    consider making a donation directly: https://go.ucsd.edu/2QlTi8n More information about these recent changes
  can be found in the UC San Diego News: https://ucsdnews.ucsd.edu/feature/call-for-citizen-scientists-to-contribute-to-covid-19-studies ____________________________________________________________________________________________ The American Gut Project is a part of the Microsetta Initiative , with the mission of
    collecting microbiome samples and rich phenotypic data from
    populations across the globe. The Human Microbiome Project and other microbiome projects
    worldwide have laid an important foundation for understanding the
    trillions of microbes that inhabit our bodies and their impact on
    health and disease. However, opportunities for the public to get
    involved in such research have been limited. Now, American Gut gives
    you an opportunity to join this research project and learn what’s
    living on and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. Some examples of what we have found using our data: Younger
  children tend to have more proteobacteria composing their microbiome.
   As you grow older, the diversity of your microbiome increases. (Based off our preliminary findings in 2014,
      found here ) There’s a significant difference between the types of bacteria
    found in industrialized populations vs. non-industrialized populations. McDonald et al. mSystems . May 2018. DOI: 10.1128/mSystems.00031-18 If You Live in the U.S.: Joining is simple! Select the kit you would like from the list
    of options on the right-hand side by clicking “Claim this perk” (if
    you would like to receive a certain number of kits that isn’t listed
    as a perk, email us at info@americangut.org ) . Your kit
    will arrive via USPS or FedEx within 2 weeks after payment, unless you have added the “Priority Shipping”
    perk along with your kit. If You Live in Europe: Visit our sister site, British Gut , to join. If You Live in Australia or Singapore: While we do have sites set up in Australia and Singapore (known
    as Australian Gut and Asian Gut respectively), we ask that participants contribute an additional $25 on top
    of their contribution, which covers an international shipping fee . These sites allow participants to send their samples back to a
    local site, which then sends the samples back to our lab in the U.S.
    to reduce the costs of shipping. If you live in Australia or Singapore and would like to
    participate, claim a perk.  The next page will have an option to
    ""top off"" your contribution with an additional amount,
    which you will use to add in the $25 to mark your kit to go
      out. If you do not include the $25 shipping fee, your kit
      will not be sent out until we have received it. Once we have received your transaction, we will forward your
    information to our collaborators. They will then send out a kit to
    you, which you will receive within 3 weeks . Please note that the r eturn time for results will take significantly longer than the
    expected 3 months for Australian/Asian Gut participants. The reason
    is that we have to bulk ship samples on dry ice back to our lab at
    UC San Diego.  This costs thousands of dollars per shipment, so it’s
    only feasible to do once enough samples are ready to ship. If You Live Anywhere Else: International participants are also welcome to join. An
    additional $25 international shipping fee also
    applies (which you would add as an additional contribution
  after claiming a perk), along with other regulations . I f you
    do not include the $25 shipping fee, your kit will not be sent out
    until we have received it. We also ask that samples are shipped back to our lab within 48 hours of being collected. The cost of shipping to our lab in
  the U.S. from some locations can be expensive , so it is
    recommended that you look into the cost of return shipping (it is
    highly suggested to use FedEx as it is more reliable). If you are interested in learning the process of our project
    from start to finish, we have a video available here . Each kit contains a sample tube (or more, if ordered), an
    instruction manual on how to register your kit and take a sample,
    credentials to access our participant website, and return
    envelope(s) to send your sample back. Your results will provide a general overview of how your microbial profile
    compares to other participants ( these results are not intended to be medically actionable,
      and we cannot provide any personalized interpretation ). You will also receive a list of the microorganisms found in
    your sample and their relative abundances (based at the genus
    level).  Results are uploaded via our participant website, which you
    will get access to once you register your kit. For stool samples, it will take about 3-4 months for you to receive your results, and longer for those who are
      participating outside the U.S. (due to shipping procedures to send
      samples back to our lab, which is based at the University of
      California San Diego).  It takes significantly longer (6+ months)
      to receive results if you submit one of the following sample
      types: Oral or skin samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome . Note that your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the American Gut Project help
      account ( info@americangut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that
    the Fundrazr transaction fee will be deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information and recommendations from your results. If you have any questions or concerns, please email us at info@americangut.org.",https://fundrazr.com/americangut
"1,020",Healthy Snack Workshop,U.S. Dollar,,of $999 goal,16,"Hi, I am Ms. Kellogg, the 6th grade math, science, and health teacher
  at Raleigh Hills. Our health class wants to host a 3 day workshop
  meant to inspire and inform teenagers about preparing their own
  snacks. The 3 day workshop will be led by Beth Gates who has been
  involved with promoting cooking and teaching cooking classes to teens
  for over 8 years in the Portland area. Each day she will bring a new
  recipe for the students to make themselves: quick pickles, smoothies,
  and fancy toast. The goal is that students will have the knowledge to
  prepare snacks that are: delicious, affordable, nutritious , and are
  informed by sustainable practices (low packaging etc) Students will be
  eating the food they prepare as well as collecting recipes, and taking
  home their own pickles. They will also be given instruction on what it
  means to shop within a growing season and using seasonal fruits and
  vegetables. As sixth graders, many students are now home alone after
  school and are preparing snacks, if not meals, for themselves. I feel
  it is important to empower them to make informed choices about the
  food they eat. Last year, Beth taught a one “smoothie” making
    lesson to our 6th grade students and it was described as a highlight
    of the year by the kids. Beth Gates is part of the CookFirst Collective. The mission of
    the collective is to cultivate home cooking, cooking with
    ingredients “on-hand” or seasonably available, and to inspire risk
    taking in the kitchen. Beth has taught youth cooking classes both as
    after school programs in PPS middle schools as well as Saturday
    Academy courses through PCC. Last year Beth taught a one “smoothie”
    making lesson to our 6th grade students and it was described as a
    highlight of the year by the kids. Project Budget Planning + shopping = 6 hours Prep time = 6 hours Clean up time (after each class session) = 3 hours Classroom time = 9 hours (3 hours x 3 days) Total 24 hours x $30 an hour = $720 Plan $93 in ingredients / supplies per recipe / day ($1.50 per kid x 62 kids) = $279 total Instructor fee:($720) + ingredients ($279) = $999",https://fundrazr.com/RHK8_Snacks_2019
135,Help Patty With Double Lung Transplant Expenses,,,,,"Hi my name is Steve Olivieri I'm the pastor of Cornerstone Fellowship of Mill Run Who: I wanted to tell you about a sweet lady named
  I've gotten to know named Patty Brandt who
  really needs your help. What: Patty is on the waiting list for a double lung
  transplant! This is an incredible answer to prayer. Back Story: Patty Brandt has end stage severe
  Emphysema and COPD (Chronic Obstructive Pulmonary Disease). For those
  of you who aren't medically minded, her lungs only work a fraction of
  how they're suppose to work. She has such a hard time breathing she
  needs on oxygen all day every day just to breath. Even while on oxygen
  she can only walk a short distance before she needs to stop and catch
  her breath. Patty underwent tons of tests and exams under the care of the Lung
  Transplant team of physicans at UPMC Presbyterian Hospital in
  Pittsburgh, PA. She has been told she will be placed on the lung
  transplant list as long as she get some minor dental work and gains
  10lbs by December 1st. *She has been given the ok by the transplant team to begin
      fundraising to cover the cost of the transplant and follow-up care. Why is Patty fundraising? Isn't this type of thing covered by health Insurance? Even if you have insurance, there are out of pocket expenses
    associated with the transplanted and continued follow up care.
    Expenses include but are not limited to: Co-pays for medications and office visits (this
    alone will be $1,000's/month) Insurance premiums and deductibles Transportation costs and parking related costs Lodging and meals Even with Medicare, the out of pocket expenses related to getting a     double lung transplant will cost tens of thousands of dollars. Why consider helping Patty? Patty is not a perfect person and no one is, but there is one person
  who is rooting harder than anyone else for Patty. Her name is Kayla.
  She is the biological granddaughter of Patty and her husband Rick.
  Kayla's dad passed away and her mother was unable to care for Kayla.
  Not wanting to see their granddaughter enter into foster care, Patty
  and Rick legally adopted their granddaughter Kayla. They opened up
  their home and changed Kayla's life for the better. Patty made a promise to Kayla that she would see her through
  graduation if not longer. Why support Patty? So Patty can keep her promise to Kayla!! Please consider helping Patty pay their medical bills and continue to
  take care of thier granddaughter whom they love with their whole heart! This is where YOU come in: Give a one time tax
  deductible donation of $3, $5, $10, $20, $50, $100, $500 or whatever
  God tugs on your heart strings to give. *All donations are secure via paypal. 100% of the donated amount goes
  directly to Patty and her family to cover expenses related to her
  transplant and follow up care. If you have any questions or for more info: - Please email Pastor Steve Olivieri of Cornerstone
  Fellowship of Mill Run cornerstonemillrun@gmail.com - Call the Cornerstone Fellowship Church's Office
  anytime day or night: (814) 942-4003 - or check us out online: www.cornerstonemillrun.com",https://fundrazr.com/a1Axye
350,Kids in Venezuela need your help,Canadian Dollar,,of $4k goal,12,"Angels for Humanitarian Aid is a Canadian non-profit
  organization for international cooperation presided by me Carlos
  Andres Bromley, who aims to help needy communities in the areas of
  health and education Check Our Web site to see what we do. We are raising this money to help the kids at the JM de los Rios
    hospital in Venezuela, who need Hemodialysis catheters to be able to
    survive while following the Dialysis treatment.   As you can see
    below we have already provide one catheter to the hospital for Daniel Laya a 1
    year old kid and we have bought a second one for Greiber Cuences a 7
    years old kid, which is on his way to Venezuela. We have contact with the Nephrology department of the hospital
    to make sure the appropiate catheters are found depending on the
    specific cases received at the hospital, and we make sure this
    devices are given to the appropiate people, thanks to our
    ambassadors located in Venezuela. Please ser the second catheter donated to the hospital Please see the history below to have an idea of what is the
    current situation at this hospital. The information below has been
    retrieved from the following article: http://www.telegraph.co.uk/news/2016/03/25/inside-venezuelas-top-childrens-medical-unit-where-patients-are/ “ This is dangerous for you and for me. There’s a real climate of
    fear”, says the doctor as he sits nervously in a room off intensive
    care at the JM de Los Rios Children’s Hospital in Caracas. Dr Huniades Urbina is trying to expose the desperate shortage of
    drugs and medical supplies in what should be the best equipped
    paediatric unit in Venezuela, but he is taking a great risk. Huge numbers of medicines are now hard or impossible to find,
    from antibiotics and painkillers to anti-epilepsy and chemotherapy drugs. D r Urbina says the unit has gone back to methods and medications
    used decades ago, because of the shortages. Where once they had
    state of the art chemotherapy for cancer patients he says they now
    have to make do with lesser options. “Sometimes people die because
    of these shortages, even here in the best children’s intensive care
    unit in Venezuela”, he says Testing kits for blood and other disposables are also scarce.
    The hospital has taken to boiling and reusing items that are
    supposed to be for single-use. When challenged on the dangers of
    this Dr Urbina’s junior colleague Dr Alvarez agrees but says they
    have no choice” The intensive care unit is operating with a reduced number of
    beds. That is partly due to the shortages of supplies, and also
    because of the shortage of doctors. Around 10,000 are estimated to
    have left the country in recent years. “ We do our best to help because this is what makes sense
      to do in cases like this.",https://fundrazr.com/jmdelosrios
"2,945","Duchity, Haiti Medical Mission",U.S. Dollar,,of $3k goal,37,"Over the years my dad, Dr. Tim Tyrrell and talented medical
      professionals travel to Duchity, Haiti as part of an ongoing
      medical mission to provide much needed medical care and supplies.
      This year, as part of my interests in international social work, I
      am fortunate to travel with this group and raise funds for their
      programs. You can help too! Support the medical mission by donating here on our
    Fundraising page. Your donations will go directly to the medical
    resources needed by the people of Duchity. We are very grateful to the health care professionals and
      volunteers who are donating their time, talent, and treasure to
      travel to Duchity, Haiti. The teams will be traveling April 2nd
      through 9th and 23rd through 30th.Thank you for your generous support. *St. Thomas the Apostle, OSJ Naperville, IL is recognized as exempt
  under Section 501(c)3 of the Internal Revenue Code and your
  contribution may qualify as a charitable deduction for federal income
  tax purposes.",https://fundrazr.com/c16MM5
"7,635",Health Care for The School of Hope,U.S. Dollar,,of $6.1k goal,55,"My name is Manichanh, I am a part of a small group of health care
  workers whom are passionate about our global community and improving
  the lives of others. In addition to providing services locally, we
  also travel to one of the poorest neighborhoods in Guatemala where we
  support The School of Hope through Education for the Children. http://www.eftc.org.uk/our-work We strive to better communities by empowering those disadvantaged. On
  September 29th, 2016, our group will be traveling to Jocotenango,
  Guatemala to support this sustainable program that is changing
  outcomes for hundreds of children. We are covering our travel and all
  associated expenses. We support this school and local clinics who
  provide additonal care to the surrounding community at large. We are
  working to strengthen community ties. We have worked and will continue
  to work with two local community clinics whom also aid this program. http://www.rekko.org/index_en.html http://www.buckner.org/our-work/guatemala On November 19tth, 2016 we are hosting a fundraiser at the Yakima
  Sports Center. We will be sharing our stories while hostng a silent
  auction and games. Please help us with this fundraiser that will
  enable hundreds of empoverished children obtain access to healthcare. We support children and their future. People (specifically children)
  are the best investment. We support Escuela Proyecto La Esperanza (The
  School of Hope) in Jocotenango, Guatemala because of their ideals and
  accomplishments. In order to improve a population you need empowerment
  and independence. The proven form has been education. This school provides that. Furthermore they understand that
  supporting a child whom faces countless socioeconomic and
  psychological barriers requires a holistic approach. What these
  children face on a near daily basis makes all of our life obstacles
  seem pity. The staff and volunteers here are committed. It's no secret that we
  hold teachers and social workers in the highest regard. The people
  here are an outstanding example of why we feel this way. They
  genuinely care and love the community in which they are improving.
  They sacrifice so much for others. This is a long term and sustainable
  commitment. They aren't going anywhere unless these socioeconomic
  issues are resolved. If you are able, please help us and help spread the word. Any and all
  help is greatly appreciated! Please contact me direclty with any
  questions or concerns. Attached below is our flyer and items to our
  growing lists of items to be presented at our silent auction! Best to you all! Manichanh Ratts Gift basket from the wonderful Heather at Lollihops! http://www.yakimahopcandy.com Gift certificate from super star Dr. Yami Lancaster's awesome
    practice! http://www.nourishyakima.com/about-me.html Gift certificate from the beautiful Alex at her salon! http://alexandrasonsecond.com Gift certificate from the loving Jennifer through her massage
    practice! https://www.facebook.com/ReNu-U-Massage-Studio-173177462290/ Gift basket full of skin care goodies from loving Laura Hoffert! https://www.rodanandfields.com Gift certicate for skin care products from the amazing Amber
    Francis! https://www.rodanandfields.com Custome made slimline pen and a bottle stopper through crafty
    Chris Joyce! https://www.etsy.com/shop/joycecustomdesigns Gift certificates for bicycle services valued at $65 each from the
  rad guys at Revolutoin Cycle! https://www.facebook.com/Revolution-Cycles-228604440350/ Awesome bottles made right in the USA donated by Liberty Bottles! http://www.libertybottles.com Voucher for a Ferrari or Lamborghini Driving Experience with The
  Motor Sport Lab. Choose between a Lamborghini Gallardo or a Ferrari
  360 Modena at either Emerald Downs Raceway or Portland Internatial
    Raceway. http://www.motorsportlab.com Cerficiate for a couples photo session from talented Lexi Crews! https://www.instagram.com/lexnicolephotography/ Gift certicate from the lucious Lincoln Avenue expresso! https://www.facebook.com/Lincoln-Ave-Espresso-104083722986955/ Membership from Pro-Motion Gym! http://pro-motionfunctionalfitness.com/free-seminar-floor-of-the-core/ Camelbak pack valued at $109 from Bearded Monkey in Yakima!
   (formerly named Valley Cycle) http://valleycyclingandfitness.com Gift basket from Hugo Perez and Helen Taylor. Partylite gift basket from Rebecca Brown. Scentsy gift from Therese Brown valued at $85 Fresh box of honeycrip apples from Doornink Fruit Ranch valued at $100. Purses from Taylor'd Footwear and Bonzis. Valued at $60 each. http://www.taylordfootwearwa.com/home.html https://www.facebook.com/atbonzis/ Authentic blanket, paintings, and coffee from Guatemala! Neon sign (valued at $350), mirror (valued at $150), and cooler/raft
  combo (valued at $75) donated by Roque Marichalar from Columbia
    Distributing! http://www.coldist.com/",https://fundrazr.com/e19iH6
900,Chemonkey,U.S. Dollar,,of $25k goal,12,"Cancer is an illness that change the life of who is living
  it , and the people who is surround. Due to this pathology,
  the routine, habits and custom of the child and the family, are
  strongly altered. Chemonkey is a project for kids who are living chemotherapy process,
  during the investigation, we realized that there wasn't any
    guide that the parents could use to explain their kids what
  they were living or were about to live. This is a hard task to do,
  because they don't know how to do it and the proper words to use. The
  main aim of this project is to ensure the kid's emotional well-being,
  to improve his experience and also to prepare him, so that he can
  face, in a better way, all the process. Chemonkey works as a tool for explaining, by an optimistic way and
  with proper words, the treatment and the side effects of it. So kids
  could understand their illness. The main character of the book is a
  monkey, who already lived the treatment, it shares his experience and
  will be their new best friend, who will share all this time with them.
  It increases kid's well being and help them to say their feelings,
  what really matters during this time. (We tested the prototypes with three kids, in all of them
    increased their self esteem , some of them believed that if her monkey could do it, she could
    too. They became brave and stop cover their eyes because of the
    needles. Also, it helps to the parents, because kids reflected
    themselves in the monkey, so if the monkey wants to sleep, they are
    trying to say that they're tired, so that is really helpful for the
    parents to know the emotions of their child) Please consider giving a donation to this project, any amount will
  help. Whether you can give or not, please share this widely with
  friends on facebook, twitter, e-mail, or any other social media. The more people who see this project, more kids will be
  happy - developing physical, emotional, spiritual, mental and
  social strength in the kids who receive this kit. The monkey hangs in their neck and chest, so it protects their port.",https://fundrazr.com/chemonkey
135,Cannabis Therapeutics Certification,U.S. Dollar,,of $10k goal,7,"This year we are celebrating 15 years since the American
    Alliance for Medical Cannabis was founded. Dr. Jay Cavanaugh created
    AAMC to help patients and to educate health professionals, lawmakers
    and the general public about the therapeutic uses of Cannabis. We
    have come a long way since 2001. We now have AAMC Directors in 21
    States, and 26 States plus the District of Columbia have legal
    medical marijuana. The most common question patients ask is “Where can I find a
    doctor who can help me?” Most doctors have not had a chance to learn
    about medical cannabis. They didn’t learn about the endocannabinoid
    system in medical school and they are reluctant to talk about it. The American Alliance for Medical Cannabis is dedicated to
    helping patients. We need your support to increase our staff so that
    we can identify qualified health professionals and provide patients
    with quality medical care. By becoming AAMC certified clinics, health professionals will
    demonstrate that they are informed about the therapeutic use of
    Cannabis. AAMC is trusted by patients. We understand the needs of
    patients. Patients will know that they are being cared for by
    competent doctors. Patients have the right to talk about their use
    of Cannabis with people who know that it’s not just for fun. Our goal is to develop clinics where patients can get complete
    medical care from doctors who know how Cannabis helps. If you would
    like to help, please give AAMC a generous donation today. AAMC certified clinics provide: * Knowledgeable doctors and nurses * Cannabis is part of initial treatment plan when indicated. * Clinics are typical doctor's offices * Full service health care The goal is to develop clinics that have knowledgeable staff to
    deliver patient care.",https://fundrazr.com/MedicalCannabis
530,Fully Loaded Movement,U.S. Dollar,,of $500 goal,9,"Our names are Leslie Hoddevik and Macey Gándara. We are the PE
  teachers at Chehalem Elementary and we have way too much fun teaching
  our 500 wonderful students together. We often have ideas that involve using a projector screen. Due to the
  nature of our gym and stage situation, we are unable to use a
  projector set-up because the chords would be a tripping hazard to
  students. We also would like to use a projector during the morning
  times to get the kids moving several days a week before classes begin. Therefore a rear facing projector screen with an Apple TV hooked up
  to the projector would be an amazing addition to our Physical
  Education program as well as a helpful tool for the whole school to
  use every day.  We would have a projector set-up behind the rear
  screen on the stage so no chords would be on the gym floor. We have
  access to iPads that we would airplay through the Apple TV onto the
  screen. The possibilities are endless for a system like this in our gymnasium. We would greatly appreciate your help in funding our project and
  sharing it with your friends and family.  We look forward to all the
  benefits these learning tools will provide all students at Chehalem.
  We are excited to partner with you to accomplish our goals. Thank you
  for all you do to support student growth and learning. The money would be split for the two items needed: $350 for a rear facing projector screen $150 towards an Apple TV.",https://fundrazr.com/Fully_Loaded_Movement
"8,461",Health Care for The School Of Hope,U.S. Dollar,,of $8.4k goal,58,"My name is Manichanh, I am a part of a
  small group of health care workers whom are dedicated to improving
  lives of those less fortunate. In addition to assisting locally, we
  also travel to one of the poorest neighborhoods in Guatemala where we
  support The School of Hope  and Rekko Clinic. http://www.eftc.org.uk/our-work and http://www.rekko.org/index_en.html We are making our annual trip to Jocotenango, Guatemala in September
  2017.  We support a program that improves the lives of hundreds of
  improverished children. We cover our own travel and all associated
  expenses. We are asking you to help us raise funds for this school so
  that the children can obtain medical care at local clinics and
  hospitals. We continue to work with a local clinc and strengthen those
  ties. All funds go directly towards the cost of medical care. In 2016 fundraiser we raised $7,745.00, $1,235 more than the
  goal! The projected expenses for  medical care (including
  hospitalization, consults, labs, x-rays, scans, medicines,
  transportation, etc) for 2017 equates to $789.31 per month or $9471.73
  for the whole year. After we deducted the $1,235 ""excess"" we
  raised last year, the total goal for 2017 is $8,400. This puts us just past the financial goal. The reason for the increase in the budget this year is: The Quetzal has strengthened substantially compared to the
      USD, previously it was 7.75/1, now it is down to 7.3/1. Over the last year we have increased our numbers to 679
      students across the Foundation. On November 18, 2017 we are hosting a fundraiser at the Yakima Sports
  Center. We will be sharing our stories while hosting a silent auction,
  having a split the pot or 50/50 (winner took home almost $200 last
  year!) and games. Please help us with this fundraiser that will enable
  hundreds of impoverished children obtain access to healthcare. We support children and their future. People (specifically children)
  are the best investment. In order to improve a population you need
  empowerment and independence. The proven form has been education.
  These children face countless socioeconomic and psychological
  barriers. A holistic approach is required to improve longterm
  outcomes. What these children face on a near daily basis makes all of
  our life obstacles seem pity. The staff and volunteers provide long
  term commitment. They genuinely care and love the community in which
  they are empowering. They sacrifice so much for others. This is a long
  term and sustainable commitment. They aren't going anywhere unless
  these socioeconomic issues are resolved. If you are able, please help us and help spread the word. Any
  donation is greatly appreciated. These children are combating extreme
  poverty and many face inhuman conditions. This school provides a safe
  haven where they can break the cycle of poverty. All donations go
  directly to medical cost and does not cover any administration fees.
  We have never needed as much support as we are asking for this year.
  Any and all help is greatly appreciated! Please consider a donation by
  clicking the provided button. Please contact me direclty with any questions or concerns. We will
  provide a list of auction items as things progress. Best to you all! Manichanh Ratts AUCTION ITEMS Authentic items from Guatemala - Blankets, pictures/painting, beer
  gift basket, coffee gift basket, apron and salsa dish. Items donated from Columbia Distributing: Two Heineken folding chairs
  (valued at $49 each), a Pacifico floating cooler (valued at $130),  3
  Fishing Poles (valued at $40 each), a Nascar Cooler (valued at $150),
  a Camo Grill (valued at $99), and a Washer Game (valued at $30) Gift certificates for bicycle services valued at $65 each from the
  rad guys at Revolutoin Cycle! https://www.facebook.com/Revolution-Cycles-228604440350/ Certificates for 2-60min facials valued at $65 each, 1-30 minute
  facial valued at $35 and 2-30 minute massages valued at $35 each -
  from Enso Massage Studio. http://www.ensomassagestudio.com 6 month Membership from Pro-Motion Gym that includes an initial
    assessment and also a certificate for an initial assessment and 10
    1hr personal training sessions!! http://pro-motionfunctionalfitness.com/free-seminar-floor-of-the-core/ Custom made slimline pen through Chris Joyce! https://www.etsy.com/shop/joycecustomdesigns Gift certificates from Lincoln Ave Expresso! http://lincolnavenueespresso.com Gift basket full of goodies from Berchman's
  Brewing Company! http://berchmansbrewingcompany.com Gift basket and gift card from Alex! http://alexandrasonsecond.com- Gift bag from LipSense donated by Sara Williamson valued at $55!! www.senegence.com/SassySavvySilver Beautiful 16x48 print donated by Mark McFeeley valued at $225!!",https://fundrazr.com/Health-Care-The-School-of-Hope
643,Nightcore For Charity,Euro,,of €3k goal,9,,https://fundrazr.com/nightcoreforcharity
"14,011",Pier to Paris Cycle Challenge,Pound Sterling,,of £7.5k goal,614,"CSMA Club will be cycling 333km over 3 days from Brighton Pier to
  Paris in support of Guide Dogs. Please donate and help us support the
  life changing work the Guide Dogs do A dog is man’s best friend, so the saying goes, and the relationship
  between an owner and their guide dog runs even deeper. These dogs
  not only offer the usual qualities of companionship and loyalty, but
  act as the eyes for their blind or partially-blind owner, too. Over two million people in the UK are living with sight loss, and
  it’s estimated that every hour someone else will lose their
  sight. For many, this can lead to isolation and research has shown
  that over two thirds of those living with blindness lack confidence to
  join in everyday activities, and as many as 170,000 rarely leave home alone. So the work of Guide Dogs, CSMA Club’s charity partner, is vital and
  life-changing. Since its formation in 1931, the charity has
  trained and partnered over 30,000 guide dogs, transforming the lives
  of their owners. At the moment, there are 4700 guide dog partnerships
  in the UK",https://fundrazr.com/bxef5
590,Ross' Pier to Paris Cycle Challenge,Pound Sterling,,of £250 goal,34,"CSMA Club will be cycling 333km over 3 days from Brighton Pier to
  Paris in support of Guide Dogs. Please donate and help us support the
  life changing work the Guide Dogs do A dog is man’s best friend, so the saying goes, and the relationship
  between an owner and their guide dog runs even deeper. These dogs
  not only offer the usual qualities of companionship and loyalty, but
  act as the eyes for their blind or partially-blind owner, too. Over two million people in the UK are living with sight loss, and
  it’s estimated that every hour someone else will lose their
  sight. For many, this can lead to isolation and research has shown
  that over two thirds of those living with blindness lack confidence to
  join in everyday activities, and as many as 170,000 rarely leave home alone. So the work of Guide Dogs, CSMA Club’s charity partner, is vital and
  life-changing. Since its formation in 1931, the charity has
  trained and partnered over 30,000 guide dogs, transforming the lives
  of their owners. At the moment, there are 4700 guide dog partnerships
  in the UK",https://fundrazr.com/czQve
"1,235",The Kalec MS Foundation,,,,,,https://fundrazr.com/010Ftc
500,It all started with a Ray......,U.S. Dollar,,of $400 goal,12,"It all started with A Ray.... and together we can make many more shine.... This all started with a Ray, our Ray, to be more accurate. My
      good friend, Claudia and I, had just moved her mountain Boutique
      to a new location and it needed a new fresh look. She brought in
      Ray, probably the gentlest and sweetest soul, to do the job.
      ""You pick it, I paint it"" he would say each day he came
      in. What I didn't know was that he wasn't just using a catchy
      slogan.  Over the week he spent with us I came to find our Ray is
      color blind and has been for the 76 years he has been on this
      wonderful world. Ray never had an opinion on the colors or chose
      them himself because he could not see the shades as we did. As I watched him carefully tape off the corners and windows
      and gentle apply the mint green and merlot red to our walls I
      realized that Ray would never be able to see how truly beautiful
      his work was. In between stories of his rowdy youth and extra
      coats of paint on the walls it dawned on me that Claudia and I
      could do something special for Ray to help say thank you for all
      his work.... EnChroma Glasses! So, I went online and started
    harassing all my friends and neighbors. SURELY! SOMEONE had to have
    a pair of those fancy glasses we could borrow. In my search a
    community member mentioned that there must be many more in our
    community that could benefit. The decision to start a fund for a
    permanent publicly available pair was made. All we needed to do was
    find a home where people could access them. Luckily, we didn't have
    to look far. Neighbor to the Boutique is Wild Bear Nature Center,
    Boulder County's only all ages, non-profit nature center. WILD BEAR NATURE CENTER Wild Bear Nature Center sees about
    27,000 visitors through its door every year. With a passion for
    re-connecting all ages with Nature as well as educating the
    importance of taking care of this beautiful earth, we believe that
    this is the home for our Enchroma glasses. THE PERFECT HOME.
    Utilizing Wild Bears ability to direct people to nature hikes, snow
    shoeing or one of their superb programs, we can create exceptionally
    magical mountain moments for Color Deficient seers that will last a
    life time. Imagine the oranges and reds of the Aspens to an eight
    year old who has never seen those shades before. Or imagine seeing
    the deep hues of our back country for the very first time for
    someone who has spent their whole lives in the Rockies. All the funds collected will be
      used to purchase a pair of EnChroma glasses that will be available
      for any one with Color Deficiency to rent free of charge. Any
      remaining funds will be used to make an exhibit for the center
      explaining Color Deficiency and Blindness as well as educating
      visitors how other animals see color. And of course we will have a
      special night with Ray, the reason this all started. Thank you for spending the time to
    read our story. We greatly appreciate any and all donations. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",https://fundrazr.com/21SXlb
